[run number],num,step-size,num-directions,[step],get-cover-time,get-reach-border-time
5,100,1,3,2967,2967,449
6,100,1,4,3552,3552,547
7,100,1,5,3835,3835,438
8,100,1,6,3866,3866,426
9,100,1.5,3,1401,1401,232
10,100,1.5,4,1898,1898,214
11,100,1.5,5,2197,2197,279
12,100,1.5,6,1730,1730,277
1,100,0.5,3,11560,11560,2521
13,100,2,3,1149,1149,216
14,100,2,4,1123,1123,136
2,100,0.5,4,14677,14677,2683
15,100,2,5,1504,1504,106
16,100,2,6,943,943,110
4,100,0.5,6,15006,15006,2693
3,100,0.5,5,16113,16113,2481
21,200,1,3,2746,2746,412
22,200,1,4,2860,2860,476
24,200,1,6,2552,2552,508
23,200,1,5,2743,2743,519
18,200,0.5,4,7643,7643,1944
26,200,1.5,4,1261,1261,178
25,200,1.5,3,1352,1352,224
27,200,1.5,5,1134,1134,220
29,200,2,3,714,714,120
20,200,0.5,6,9364,9364,2014
30,200,2,4,746,746,117
28,200,1.5,6,1375,1375,261
32,200,2,6,565,565,124
31,200,2,5,788,788,139
17,200,0.5,3,10932,10932,1754
19,200,0.5,5,10919,10919,1696
37,300,1,3,2134,2134,572
38,300,1,4,1917,1917,322
39,300,1,5,2608,2608,463
40,300,1,6,1992,1992,429
41,300,1.5,3,941,941,214
42,300,1.5,4,1011,1011,212
33,300,0.5,3,7438,7438,1715
34,300,0.5,4,7846,7846,1791
35,300,0.5,5,8076,8076,2038
36,300,0.5,6,7635,7635,2386
45,300,2,3,537,537,96
46,300,2,4,544,544,124
43,300,1.5,5,1054,1054,257
44,300,1.5,6,1015,1015,201
47,300,2,5,596,596,95
48,300,2,6,613,613,118
