"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"determ-run-end"
"09/28/2022 21:15:26:911 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","num","step-size","r","max-pxcor","[step]","get-cover-time","get-reach-border-time"
"4","200","0.5","0.5","10","196","196","21"
"3","200","0.5","0.5","10","207","207","21"
"1","200","0.5","0.5","10","174","174","21"
"6","200","0.5","0.5","10","187","187","21"
"2","200","0.5","0.5","10","193","193","21"
"5","200","0.5","0.5","10","240","240","21"
"7","200","0.5","0.5","30","257","257","61"
"8","200","0.5","0.5","30","312","312","61"
"9","200","0.5","0.5","30","260","260","61"
"10","200","0.5","0.5","30","334","334","61"
"11","200","0.5","0.5","30","298","298","61"
"12","200","0.5","0.5","30","296","296","61"
"13","200","0.5","3","10","6000","0","45"
"14","200","0.5","3","10","6000","0","26"
"16","200","0.5","3","10","6000","0","21"
"18","200","0.5","3","10","6000","0","0"
"17","200","0.5","3","10","6000","0","0"
"15","200","0.5","3","10","6000","0","0"
"20","200","0.5","3","30","6000","0","64"
"19","200","0.5","3","30","6000","0","0"
"21","200","0.5","3","30","6000","0","64"
"22","200","0.5","3","30","6000","0","0"
"23","200","0.5","3","30","6000","0","67"
"24","200","0.5","3","30","6000","0","0"
"25","200","0.5","3.6","10","6000","0","947"
"27","200","0.5","3.6","10","6000","0","775"
"26","200","0.5","3.6","10","6000","0","21"
"28","200","0.5","3.6","10","6000","0","868"
"29","200","0.5","3.6","10","6000","0","21"
"30","200","0.5","3.6","10","6000","0","775"
"31","200","0.5","3.6","30","6000","0","0"
"33","200","0.5","3.6","30","6000","0","61"
"32","200","0.5","3.6","30","6000","0","0"
"34","200","0.5","3.6","30","6000","0","0"
"35","200","0.5","3.6","30","6000","0","68"
"36","200","0.5","3.6","30","6000","0","64"
"37","200","0.5","3.8","10","3544","3544","122"
"41","200","0.5","3.8","10","3310","3310","127"
"40","200","0.5","3.8","10","3558","3558","155"
"39","200","0.5","3.8","10","3645","3645","188"
"38","200","0.5","3.8","10","4171","4171","32"
"42","200","0.5","3.8","10","3511","3511","62"
"43","200","0.5","3.8","30","4841","4841","1192"
"49","200","1","0.5","10","105","105","10"
"50","200","1","0.5","10","109","109","10"
"51","200","1","0.5","10","109","109","10"
"52","200","1","0.5","10","106","106","10"
"53","200","1","0.5","10","105","105","10"
"54","200","1","0.5","10","112","112","10"
"44","200","0.5","3.8","30","5070","5070","1246"
"55","200","1","0.5","30","179","179","30"
"56","200","1","0.5","30","163","163","30"
"46","200","0.5","3.8","30","5114","5114","1225"
"57","200","1","0.5","30","165","165","30"
"59","200","1","0.5","30","163","163","30"
"58","200","1","0.5","30","185","185","30"
"47","200","0.5","3.8","30","5016","5016","65"
"60","200","1","0.5","30","175","175","30"
"45","200","0.5","3.8","30","6000","0","1236"
"48","200","0.5","3.8","30","5201","5201","1401"
"61","200","1","3","10","4643","4643","30"
"63","200","1","3","10","5239","5239","24"
"62","200","1","3","10","6000","0","30"
"64","200","1","3","10","6000","0","10"
"65","200","1","3","10","6000","0","0"
"66","200","1","3","10","6000","0","0"
"68","200","1","3","30","5244","5244","30"
"67","200","1","3","30","6000","0","30"
"69","200","1","3","30","6000","0","0"
"70","200","1","3","30","6000","0","37"
"71","200","1","3","30","6000","0","42"
"72","200","1","3","30","6000","0","42"
"74","200","1","3.6","10","4299","4299","30"
"78","200","1","3.6","10","2633","2633","30"
"73","200","1","3.6","10","6000","0","164"
"75","200","1","3.6","10","6000","0","16"
"76","200","1","3.6","10","6000","0","151"
"77","200","1","3.6","10","6000","0","199"
"79","200","1","3.6","30","6000","0","2571"
"85","200","1","3.8","10","828","828","10"
"81","200","1","3.6","30","6000","0","2450"
"80","200","1","3.6","30","6000","0","2082"
"86","200","1","3.8","10","869","869","15"
"87","200","1","3.8","10","968","968","24"
"88","200","1","3.8","10","964","964","10"
"89","200","1","3.8","10","1027","1027","51"
"82","200","1","3.6","30","6000","0","2450"
"83","200","1","3.6","30","6000","0","2122"
"90","200","1","3.8","10","1040","1040","10"
"84","200","1","3.6","30","6000","0","38"
"92","200","1","3.8","30","1121","1121","37"
"91","200","1","3.8","30","1191","1191","31"
"97","200","1.5","0.5","10","95","95","7"
"98","200","1.5","0.5","10","108","108","7"
"94","200","1","3.8","30","1231","1231","297"
"99","200","1.5","0.5","10","126","126","7"
"100","200","1.5","0.5","10","112","112","7"
"93","200","1","3.8","30","1423","1423","30"
"101","200","1.5","0.5","10","133","133","7"
"102","200","1.5","0.5","10","154","154","7"
"104","200","1.5","0.5","30","193","193","20"
"103","200","1.5","0.5","30","214","214","20"
"105","200","1.5","0.5","30","145","145","20"
"106","200","1.5","0.5","30","221","221","20"
"107","200","1.5","0.5","30","166","166","20"
"108","200","1.5","0.5","30","164","164","20"
"95","200","1","3.8","30","1403","1403","30"
"96","200","1","3.8","30","1418","1418","298"
"111","200","1.5","3","10","4917","4917","6"
"109","200","1.5","3","10","6000","0","9"
"110","200","1.5","3","10","6000","0","0"
"113","200","1.5","3","10","6000","0","21"
"114","200","1.5","3","10","6000","0","0"
"112","200","1.5","3","10","6000","0","0"
"115","200","1.5","3","30","6000","0","0"
"116","200","1.5","3","30","6000","0","0"
"117","200","1.5","3","30","6000","0","0"
"118","200","1.5","3","30","6000","0","20"
"119","200","1.5","3","30","6000","0","26"
"120","200","1.5","3","30","6000","0","20"
"121","200","1.5","3.6","10","2832","2832","81"
"123","200","1.5","3.6","10","2866","2866","81"
"122","200","1.5","3.6","10","3416","3416","72"
"125","200","1.5","3.6","10","3389","3389","81"
"124","200","1.5","3.6","10","3613","3613","62"
"126","200","1.5","3.6","10","2984","2984","72"
"127","200","1.5","3.6","30","4759","4759","24"
"133","200","1.5","3.8","10","448","448","15"
"129","200","1.5","3.6","30","4076","4076","20"
"134","200","1.5","3.8","10","460","460","13"
"128","200","1.5","3.6","30","4746","4746","732"
"136","200","1.5","3.8","10","388","388","12"
"135","200","1.5","3.8","10","530","530","12"
"138","200","1.5","3.8","10","491","491","7"
"137","200","1.5","3.8","10","549","549","19"
"130","200","1.5","3.6","30","4936","4936","21"
"139","200","1.5","3.8","30","635","635","126"
"140","200","1.5","3.8","30","652","652","139"
"131","200","1.5","3.6","30","5200","5200","766"
"141","200","1.5","3.8","30","790","790","121"
"143","200","1.5","3.8","30","652","652","139"
"145","200","2","0.5","10","130","130","5"
"146","200","2","0.5","10","116","116","5"
"142","200","1.5","3.8","30","795","795","141"
"147","200","2","0.5","10","116","116","5"
"148","200","2","0.5","10","109","109","5"
"150","200","2","0.5","10","131","131","5"
"132","200","1.5","3.6","30","4789","4789","765"
"149","200","2","0.5","10","147","147","5"
"152","200","2","0.5","30","151","151","15"
"151","200","2","0.5","30","181","181","15"
"155","200","2","0.5","30","172","172","15"
"153","200","2","0.5","30","194","194","15"
"154","200","2","0.5","30","238","238","15"
"156","200","2","0.5","30","184","184","15"
"144","200","1.5","3.8","30","720","720","23"
"159","200","2","3","10","6000","0","0"
"158","200","2","3","10","6000","0","0"
"157","200","2","3","10","6000","0","5"
"162","200","2","3","10","6000","0","0"
"161","200","2","3","10","6000","0","0"
"160","200","2","3","10","6000","0","0"
"163","200","2","3","30","6000","0","0"
"164","200","2","3","30","5914","5914","17"
"165","200","2","3","30","6000","0","15"
"167","200","2","3","30","6000","0","17"
"166","200","2","3","30","6000","0","16"
"169","200","2","3.6","10","1018","1018","5"
"168","200","2","3","30","6000","0","16"
"171","200","2","3.6","10","1537","1537","21"
"172","200","2","3.6","10","1575","1575","30"
"173","200","2","3.6","10","1518","1518","30"
"170","200","2","3.6","10","1864","1864","5"
"174","200","2","3.6","10","1062","1062","5"
"175","200","2","3.6","30","2284","2284","15"
"178","200","2","3.6","30","1977","1977","547"
"179","200","2","3.6","30","2013","2013","564"
"181","200","2","3.8","10","325","325","9"
"176","200","2","3.6","30","2299","2299","519"
"182","200","2","3.8","10","322","322","7"
"177","200","2","3.6","30","2320","2320","539"
"185","200","2","3.8","10","266","266","5"
