"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"levy-end"
"10/03/2022 16:32:42:617 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","step-size","num","rw-type","dist-type","[step]","get-cover-time","get-reach-border-time"
"6","0.5","50","levy","weibull","2541","2541","108"
"2","0.5","50","levy","log-normal","3948","3948","495"
"1","0.5","50","levy","log-normal","4332","4332","505"
"4","0.5","50","levy","log-normal","4317","4317","614"
"5","0.5","50","levy","log-normal","4876","4876","339"
"3","0.5","50","levy","log-normal","5215","5215","284"
"7","0.5","50","levy","weibull","3519","3519","162"
"8","0.5","50","levy","weibull","2500","2500","187"
"9","0.5","50","levy","weibull","2688","2688","131"
"12","0.5","50","levy","cauchy","1214","1214","2"
"10","0.5","50","levy","weibull","3288","3288","119"
"11","0.5","50","levy","cauchy","1539","1539","2"
"14","0.5","50","levy","cauchy","1424","1424","2"
"13","0.5","50","levy","cauchy","1190","1190","6"
"16","0.5","100","levy","log-normal","2178","2178","275"
"15","0.5","50","levy","cauchy","1814","1814","2"
"17","0.5","100","levy","log-normal","2379","2379","360"
"18","0.5","100","levy","log-normal","2771","2771","335"
"21","0.5","100","levy","weibull","1348","1348","184"
"22","0.5","100","levy","weibull","1595","1595","97"
"23","0.5","100","levy","weibull","1495","1495","140"
"19","0.5","100","levy","log-normal","3437","3437","520"
"20","0.5","100","levy","log-normal","2550","2550","447"
"24","0.5","100","levy","weibull","1683","1683","99"
"27","0.5","100","levy","cauchy","565","565","2"
"25","0.5","100","levy","weibull","2023","2023","137"
"26","0.5","100","levy","cauchy","832","832","0"
"30","0.5","100","levy","cauchy","725","725","2"
"29","0.5","100","levy","cauchy","736","736","1"
"28","0.5","100","levy","cauchy","692","692","0"
"31","0.5","150","levy","log-normal","2323","2323","294"
"32","0.5","150","levy","log-normal","2311","2311","219"
"33","0.5","150","levy","log-normal","2043","2043","191"
"34","0.5","150","levy","log-normal","2430","2430","273"
"36","0.5","150","levy","weibull","1532","1532","135"
"35","0.5","150","levy","log-normal","2409","2409","257"
"38","0.5","150","levy","weibull","1145","1145","108"
"37","0.5","150","levy","weibull","1253","1253","128"
"39","0.5","150","levy","weibull","1201","1201","99"
"41","0.5","150","levy","cauchy","415","415","2"
"40","0.5","150","levy","weibull","1313","1313","69"
"43","0.5","150","levy","cauchy","426","426","0"
"42","0.5","150","levy","cauchy","520","520","1"
"44","0.5","150","levy","cauchy","498","498","1"
"45","0.5","150","levy","cauchy","475","475","2"
"46","1","50","levy","log-normal","3250","3250","102"
"47","1","50","levy","log-normal","3762","3762","100"
"48","1","50","levy","log-normal","3935","3935","134"
"49","1","50","levy","log-normal","3901","3901","77"
"50","1","50","levy","log-normal","4167","4167","129"
"52","1","50","levy","weibull","2160","2160","78"
"51","1","50","levy","weibull","2476","2476","120"
"53","1","50","levy","weibull","1697","1697","91"
"54","1","50","levy","weibull","2206","2206","92"
"55","1","50","levy","weibull","2061","2061","135"
"57","1","50","levy","cauchy","1011","1011","0"
"56","1","50","levy","cauchy","941","941","0"
"59","1","50","levy","cauchy","1277","1277","3"
"58","1","50","levy","cauchy","975","975","0"
"61","1","100","levy","log-normal","1716","1716","1"
"60","1","50","levy","cauchy","950","950","0"
"62","1","100","levy","log-normal","1708","1708","78"
"63","1","100","levy","log-normal","1958","1958","26"
"66","1","100","levy","weibull","1102","1102","72"
"67","1","100","levy","weibull","1201","1201","88"
"68","1","100","levy","weibull","906","906","71"
"64","1","100","levy","log-normal","1816","1816","93"
"65","1","100","levy","log-normal","1918","1918","7"
"69","1","100","levy","weibull","1271","1271","107"
"70","1","100","levy","weibull","1129","1129","111"
"71","1","100","levy","cauchy","452","452","2"
"72","1","100","levy","cauchy","539","539","0"
"73","1","100","levy","cauchy","496","496","0"
"74","1","100","levy","cauchy","535","535","1"
"75","1","100","levy","cauchy","486","486","1"
"76","1","150","levy","log-normal","1373","1373","68"
"77","1","150","levy","log-normal","1292","1292","29"
"81","1","150","levy","weibull","813","813","80"
"79","1","150","levy","log-normal","1512","1512","91"
"78","1","150","levy","log-normal","1691","1691","29"
"82","1","150","levy","weibull","743","743","48"
"80","1","150","levy","log-normal","1402","1402","63"
"83","1","150","levy","weibull","907","907","77"
"84","1","150","levy","weibull","734","734","73"
"85","1","150","levy","weibull","874","874","79"
"86","1","150","levy","cauchy","297","297","0"
"87","1","150","levy","cauchy","378","378","1"
"88","1","150","levy","cauchy","414","414","0"
"90","1","150","levy","cauchy","350","350","3"
"91","1.5","50","levy","log-normal","4062","4062","17"
"92","1.5","50","levy","log-normal","3063","3063","52"
"89","1","150","levy","cauchy","378","378","1"
"93","1.5","50","levy","log-normal","3268","3268","65"
"97","1.5","50","levy","weibull","1606","1606","81"
"96","1.5","50","levy","weibull","1542","1542","69"
"95","1.5","50","levy","log-normal","3445","3445","17"
"94","1.5","50","levy","log-normal","3882","3882","60"
"98","1.5","50","levy","weibull","2159","2159","58"
"99","1.5","50","levy","weibull","2470","2470","85"
"100","1.5","50","levy","weibull","1522","1522","98"
"101","1.5","50","levy","cauchy","725","725","2"
