"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"levy-msd"
"10/03/2022 17:04:53:331 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","step-size","num","dist-type","[step]","get-msd","step-size * sqrt ticks"
"1","0.5","50","log-normal","0","0","0"
"5","0.5","100","weibull","0","0","0"
"6","0.5","100","cauchy","0","0","0"
"3","0.5","50","cauchy","0","0","0"
"4","0.5","100","log-normal","0","0","0"
"2","0.5","50","weibull","0","0","0"
"3","0.5","50","cauchy","1","2.3489335470281874","0.5"
"1","0.5","50","log-normal","1","0.5810979441441797","0.5"
"3","0.5","50","cauchy","2","2.9966126397994937","0.7071067811865476"
"1","0.5","50","log-normal","2","0.8543813026836227","0.7071067811865476"
"3","0.5","50","cauchy","3","5.140217865452141","0.8660254037844386"
"3","0.5","50","cauchy","4","5.9151780482945915","1"
"6","0.5","100","cauchy","1","3.0564397084772525","0.5"
"1","0.5","50","log-normal","3","1.1479148560500998","0.8660254037844386"
"4","0.5","100","log-normal","1","0.5633463608380083","0.5"
"2","0.5","50","weibull","1","1.2306923496560742","0.5"
"5","0.5","100","weibull","1","1.1933596223277096","0.5"
"3","0.5","50","cauchy","5","7.802701956633967","1.118033988749895"
"6","0.5","100","cauchy","2","4.720271094106248","0.7071067811865476"
"1","0.5","50","log-normal","4","1.3469296369629573","1"
"5","0.5","100","weibull","2","1.618806499866932","0.7071067811865476"
"2","0.5","50","weibull","2","1.6800895843921098","0.7071067811865476"
"1","0.5","50","log-normal","5","1.504019557369516","1.118033988749895"
"4","0.5","100","log-normal","2","0.7418998091250838","0.7071067811865476"
"3","0.5","50","cauchy","6","8.108894057686207","1.224744871391589"
"1","0.5","50","log-normal","6","1.591491709524426","1.224744871391589"
"2","0.5","50","weibull","3","2.2982109056517093","0.8660254037844386"
"3","0.5","50","cauchy","7","8.645774277499415","1.3228756555322954"
"1","0.5","50","log-normal","7","1.8317534729927296","1.3228756555322954"
"4","0.5","100","log-normal","3","0.9467203630888175","0.8660254037844386"
"3","0.5","50","cauchy","8","8.700776643033063","1.4142135623730951"
"2","0.5","50","weibull","4","2.5881373139113326","1"
"1","0.5","50","log-normal","8","1.9950296932138292","1.4142135623730951"
"5","0.5","100","weibull","3","2.0511447446053586","0.8660254037844386"
