"BehaviorSpace results (NetLogo 6.2.2)"
"averaging_noise.nlogo"
"aver-noise"
"10/26/2022 13:09:45:452 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","w","noise","threshold","[step]","count patches with [pcolor = black]"
"6","0.5","0.4","0.5","0","0"
"4","0.5","0.4","0.5","0","0"
"2","0.5","0.4","0.5","0","0"
"1","0.5","0.4","0.5","0","0"
"5","0.5","0.4","0.5","0","0"
"3","0.5","0.4","0.5","0","0"
"2","0.5","0.4","0.5","1","0"
"1","0.5","0.4","0.5","1","0"
"4","0.5","0.4","0.5","1","0"
"2","0.5","0.4","0.5","2","603"
"6","0.5","0.4","0.5","1","0"
"2","0.5","0.4","0.5","3","845"
"3","0.5","0.4","0.5","1","0"
"2","0.5","0.4","0.5","4","1086"
"4","0.5","0.4","0.5","2","591"
"5","0.5","0.4","0.5","1","0"
"2","0.5","0.4","0.5","5","1264"
"1","0.5","0.4","0.5","2","580"
"6","0.5","0.4","0.5","2","576"
"3","0.5","0.4","0.5","2","535"
"2","0.5","0.4","0.5","6","1389"
"4","0.5","0.4","0.5","3","828"
"2","0.5","0.4","0.5","7","1538"
"2","0.5","0.4","0.5","8","1662"
"5","0.5","0.4","0.5","2","604"
"1","0.5","0.4","0.5","3","813"
"2","0.5","0.4","0.5","9","1761"
"6","0.5","0.4","0.5","3","817"
"2","0.5","0.4","0.5","10","1855"
"4","0.5","0.4","0.5","4","1049"
"3","0.5","0.4","0.5","3","761"
"5","0.5","0.4","0.5","3","830"
"1","0.5","0.4","0.5","4","1052"
"2","0.5","0.4","0.5","11","1920"
"2","0.5","0.4","0.5","12","1996"
"6","0.5","0.4","0.5","4","1030"
"2","0.5","0.4","0.5","13","2066"
"1","0.5","0.4","0.5","5","1219"
"5","0.5","0.4","0.5","4","1036"
"3","0.5","0.4","0.5","4","987"
"2","0.5","0.4","0.5","14","2127"
"2","0.5","0.4","0.5","15","2185"
"2","0.5","0.4","0.5","16","2232"
"5","0.5","0.4","0.5","5","1210"
"3","0.5","0.4","0.5","5","1175"
"1","0.5","0.4","0.5","6","1376"
"2","0.5","0.4","0.5","17","2274"
"5","0.5","0.4","0.5","6","1378"
"6","0.5","0.4","0.5","5","1218"
"2","0.5","0.4","0.5","18","2305"
"3","0.5","0.4","0.5","6","1342"
"2","0.5","0.4","0.5","19","2332"
"5","0.5","0.4","0.5","7","1519"
"4","0.5","0.4","0.5","5","1250"
"1","0.5","0.4","0.5","7","1508"
"5","0.5","0.4","0.5","8","1633"
"3","0.5","0.4","0.5","7","1488"
"2","0.5","0.4","0.5","20","2360"
"5","0.5","0.4","0.5","9","1743"
"6","0.5","0.4","0.5","6","1380"
"2","0.5","0.4","0.5","21","2390"
"5","0.5","0.4","0.5","10","1862"
"3","0.5","0.4","0.5","8","1579"
"2","0.5","0.4","0.5","22","2416"
"1","0.5","0.4","0.5","8","1618"
"5","0.5","0.4","0.5","11","1955"
"2","0.5","0.4","0.5","23","2433"
"5","0.5","0.4","0.5","12","2040"
"3","0.5","0.4","0.5","9","1672"
"6","0.5","0.4","0.5","7","1493"
"2","0.5","0.4","0.5","24","2451"
"5","0.5","0.4","0.5","13","2098"
"4","0.5","0.4","0.5","6","1422"
"5","0.5","0.4","0.5","14","2158"
"6","0.5","0.4","0.5","8","1628"
"2","0.5","0.4","0.5","25","2468"
"5","0.5","0.4","0.5","15","2210"
"3","0.5","0.4","0.5","10","1758"
"6","0.5","0.4","0.5","9","1740"
"1","0.5","0.4","0.5","9","1702"
"5","0.5","0.4","0.5","16","2254"
"2","0.5","0.4","0.5","26","2483"
"6","0.5","0.4","0.5","10","1838"
"2","0.5","0.4","0.5","27","2494"
"5","0.5","0.4","0.5","17","2291"
"4","0.5","0.4","0.5","7","1570"
"2","0.5","0.4","0.5","28","2503"
"5","0.5","0.4","0.5","18","2324"
"6","0.5","0.4","0.5","11","1918"
"3","0.5","0.4","0.5","11","1836"
"2","0.5","0.4","0.5","29","2519"
"5","0.5","0.4","0.5","19","2344"
"2","0.5","0.4","0.5","30","2528"
"3","0.5","0.4","0.5","12","1910"
"5","0.5","0.4","0.5","20","2373"
"4","0.5","0.4","0.5","8","1697"
"6","0.5","0.4","0.5","12","1997"
"2","0.5","0.4","0.5","31","2538"
"3","0.5","0.4","0.5","13","1969"
"5","0.5","0.4","0.5","21","2397"
"6","0.5","0.4","0.5","13","2080"
"4","0.5","0.4","0.5","9","1800"
"3","0.5","0.4","0.5","14","2022"
"2","0.5","0.4","0.5","32","2546"
"5","0.5","0.4","0.5","22","2420"
"2","0.5","0.4","0.5","33","2552"
"3","0.5","0.4","0.5","15","2072"
"1","0.5","0.4","0.5","10","1781"
"4","0.5","0.4","0.5","10","1884"
"5","0.5","0.4","0.5","23","2442"
"3","0.5","0.4","0.5","16","2121"
"2","0.5","0.4","0.5","34","2557"
"6","0.5","0.4","0.5","14","2139"
"5","0.5","0.4","0.5","24","2452"
"3","0.5","0.4","0.5","17","2159"
"2","0.5","0.4","0.5","35","2561"
"4","0.5","0.4","0.5","11","1952"
"3","0.5","0.4","0.5","18","2196"
"6","0.5","0.4","0.5","15","2193"
"3","0.5","0.4","0.5","19","2221"
"1","0.5","0.4","0.5","11","1845"
"6","0.5","0.4","0.5","16","2245"
"2","0.5","0.4","0.5","36","2567"
"3","0.5","0.4","0.5","20","2247"
"6","0.5","0.4","0.5","17","2281"
"2","0.5","0.4","0.5","37","2567"
