"BehaviorSpace results (NetLogo 6.2.2)"
"visek_obstacles.nlogo"
"obst"
"11/04/2022 09:03:37:978 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"3","1","0","0","0.02555621105914883","0"
"5","1","30","0","0.036012797240379334","0"
"4","1","30","0","0.008995259113229943","0"
"6","1","30","0","0.1207662622131833","0"
"1","1","0","0","0.0722558278934686","0"
"2","1","0","0","0.04649024132139574","0"
"6","1","30","1","0.28344461969070467","0.11666666666666667"
"3","1","0","1","0.15802602441163288","0.13333333333333333"
"2","1","0","1","0.23345144133469825","0.15"
"5","1","30","1","0.1841523472999596","0.12"
"1","1","0","1","0.24035052282244662","0.14666666666666667"
"4","1","30","1","0.16821324853517822","0.13666666666666666"
"3","1","0","2","0.2367786510199782","0.14333333333333334"
"2","1","0","2","0.31774109300133624","0.16666666666666666"
"6","1","30","2","0.34235136409712086","0.16"
"4","1","30","2","0.2719844796855057","0.10666666666666667"
"5","1","30","2","0.2674831588355554","0.12666666666666668"
"1","1","0","2","0.3223679966958121","0.17666666666666667"
"3","1","0","3","0.3044827090092678","0.14333333333333334"
"6","1","30","3","0.35533322049849997","0.19333333333333333"
"2","1","0","3","0.4352276622444115","0.18333333333333332"
"5","1","30","3","0.3607050268590539","0.14666666666666667"
"1","1","0","3","0.37542416617603797","0.17333333333333334"
"4","1","30","3","0.30614609774019563","0.17"
"3","1","0","4","0.3549829338836569","0.20333333333333334"
"6","1","30","4","0.39456755888911715","0.23"
"5","1","30","4","0.4024528972319874","0.17666666666666667"
"2","1","0","4","0.4784299949637413","0.18"
"4","1","30","4","0.3321042096971141","0.18"
"1","1","0","4","0.4246732956489693","0.16666666666666666"
"3","1","0","5","0.4184903090289182","0.18"
"6","1","30","5","0.4413350423569844","0.22666666666666666"
"4","1","30","5","0.36473756455574735","0.19333333333333333"
"1","1","0","5","0.4664088142943317","0.17333333333333334"
"5","1","30","5","0.44602448457503047","0.16666666666666666"
"2","1","0","5","0.5015224165177714","0.19666666666666666"
"3","1","0","6","0.479925700936355","0.18333333333333332"
"6","1","30","6","0.4463078710448132","0.20666666666666667"
"4","1","30","6","0.4012616419763708","0.19"
"1","1","0","6","0.5108119085717464","0.18333333333333332"
"2","1","0","6","0.5303640423559988","0.19666666666666666"
"5","1","30","6","0.447987625072552","0.18666666666666668"
"3","1","0","7","0.518041648807037","0.2"
"6","1","30","7","0.43663924443902885","0.20333333333333334"
"4","1","30","7","0.4119459617744552","0.22"
"1","1","0","7","0.5480681172010705","0.2"
"2","1","0","7","0.5536341075436284","0.22"
"5","1","30","7","0.47415713230086737","0.19333333333333333"
"3","1","0","8","0.530866362602923","0.21333333333333335"
"6","1","30","8","0.4459054656552588","0.19333333333333333"
"4","1","30","8","0.4339852170040996","0.21333333333333335"
"1","1","0","8","0.5516460315584929","0.2"
"2","1","0","8","0.5862386414898488","0.23333333333333334"
"5","1","30","8","0.45154938827672053","0.19666666666666666"
"6","1","30","9","0.428639093469845","0.21"
"4","1","30","9","0.437174550685395","0.24"
"1","1","0","9","0.531480111309386","0.24666666666666667"
"5","1","30","9","0.4750591282182637","0.23333333333333334"
"2","1","0","9","0.5654609571240091","0.23333333333333334"
"3","1","0","9","0.5572264250398699","0.23"
"6","1","30","10","0.4708491042757072","0.24"
"4","1","30","10","0.42779112128069113","0.21"
"1","1","0","10","0.5485089756988327","0.23"
"5","1","30","10","0.5244300308267367","0.23333333333333334"
"3","1","0","10","0.5659450033503516","0.23"
"2","1","0","10","0.565178244061675","0.22"
"6","1","30","11","0.49937962310139494","0.2633333333333333"
"1","1","0","11","0.5619000147968817","0.24"
"5","1","30","11","0.5196083700133943","0.25666666666666665"
"4","1","30","11","0.4275942441430533","0.21666666666666667"
"3","1","0","11","0.559610598373739","0.2633333333333333"
"2","1","0","11","0.5563393341212879","0.24666666666666667"
"6","1","30","12","0.4710699069453649","0.2866666666666667"
"1","1","0","12","0.5665013400025264","0.21666666666666667"
"3","1","0","12","0.6077674271568836","0.2733333333333333"
"4","1","30","12","0.4748763923168106","0.23666666666666666"
"5","1","30","12","0.5373094460418482","0.26"
"2","1","0","12","0.5607634720991725","0.22333333333333333"
"6","1","30","13","0.4772026185213913","0.2633333333333333"
"1","1","0","13","0.5574728610724068","0.23"
"3","1","0","13","0.6255744008486707","0.29"
"4","1","30","13","0.5040028576478127","0.25"
"5","1","30","13","0.5129961135804841","0.27"
"2","1","0","13","0.566440003006609","0.26666666666666666"
"1","1","0","14","0.541963524314232","0.26666666666666666"
"6","1","30","14","0.48925124364056266","0.25333333333333335"
"3","1","0","14","0.6238851790013131","0.27666666666666667"
"4","1","30","14","0.5367962302625608","0.24666666666666667"
"5","1","30","14","0.5406669030579253","0.29333333333333333"
"2","1","0","14","0.5685074539463277","0.2866666666666667"
"1","1","0","15","0.5578361977107102","0.29"
"3","1","0","15","0.6164822507089545","0.31666666666666665"
"4","1","30","15","0.5244696529804446","0.23"
"5","1","30","15","0.5146462717714074","0.30666666666666664"
"2","1","0","15","0.5727335321298413","0.2966666666666667"
"6","1","30","15","0.49638440562156005","0.2866666666666667"
"3","1","0","16","0.5879077403155898","0.2866666666666667"
"1","1","0","16","0.5742223333455267","0.3"
"5","1","30","16","0.5021866747035775","0.26"
"2","1","0","16","0.5770881301491196","0.29"
"4","1","30","16","0.5111673160505553","0.24666666666666667"
"6","1","30","16","0.5004291651721591","0.29333333333333333"
"3","1","0","17","0.5685696374428943","0.31333333333333335"
"1","1","0","17","0.5660730656578535","0.2633333333333333"
"2","1","0","17","0.5510109248993045","0.28"
"5","1","30","17","0.5181966192475902","0.26666666666666666"
"4","1","30","17","0.510390761680557","0.25666666666666665"
"6","1","30","17","0.48688139912624195","0.31"
"3","1","0","18","0.5715758787072418","0.29"
"1","1","0","18","0.5849535417156352","0.25666666666666665"
"2","1","0","18","0.5366124459755381","0.31"
"4","1","30","18","0.535652598038345","0.29"
"5","1","30","18","0.5115864942163464","0.31666666666666665"
"6","1","30","18","0.49700076563047085","0.31333333333333335"
"3","1","0","19","0.5727990952702281","0.27666666666666667"
"1","1","0","19","0.6072614972555835","0.30333333333333334"
"2","1","0","19","0.5606267905742572","0.29"
"4","1","30","19","0.5614397335322691","0.3"
"5","1","30","19","0.5032842363446524","0.32"
"6","1","30","19","0.4950227573135328","0.31666666666666665"
"1","1","0","20","0.6072053742965731","0.31333333333333335"
"3","1","0","20","0.5677096596097886","0.2866666666666667"
"2","1","0","20","0.567581007177911","0.2733333333333333"
"4","1","30","20","0.5988894567638566","0.29"
"5","1","30","20","0.5027535581047001","0.3433333333333333"
"6","1","30","20","0.4999732081912124","0.30333333333333334"
"3","1","0","21","0.5537316266104975","0.28"
"1","1","0","21","0.6356389390268394","0.2866666666666667"
"2","1","0","21","0.5782973908245707","0.2733333333333333"
"4","1","30","21","0.6213948782525911","0.2966666666666667"
"6","1","30","21","0.4920743788430097","0.26666666666666666"
"5","1","30","21","0.5134888152006656","0.30333333333333334"
"3","1","0","22","0.5665343410113004","0.25333333333333335"
"2","1","0","22","0.5886163821585494","0.26666666666666666"
"1","1","0","22","0.6528992248994878","0.26"
"4","1","30","22","0.6228661894161148","0.29333333333333333"
"6","1","30","22","0.5221222896695797","0.2866666666666667"
