"BehaviorSpace results (NetLogo 6.2.2)"
"visek_original.nlogo"
"orig"
"11/03/2022 12:38:52:421 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"1","1","0","0","0.054860913946913455","0"
"5","1","30","0","0.006898542001682686","0"
"2","1","0","0","0.04661718545248118","0"
"4","1","30","0","0.06359339155198966","0"
"3","1","0","0","0.10173577178098253","0"
"6","1","30","0","0.12532917221636347","0"
"4","1","30","1","0.11444777784272643","0.12666666666666668"
"5","1","30","1","0.21342515573687104","0.11666666666666667"
"6","1","30","1","0.14731953188111024","0.12666666666666668"
"1","1","0","1","0.07543757697437195","0.1"
"3","1","0","1","0.0544081542793191","0.15666666666666668"
"2","1","0","1","0.13961885934120666","0.12"
"4","1","30","2","0.25176462293493396","0.15666666666666668"
"6","1","30","2","0.21993886014969674","0.13666666666666666"
"1","1","0","2","0.17723112359878848","0.16333333333333333"
"5","1","30","2","0.25310425900703337","0.14333333333333334"
"3","1","0","2","0.15163322567152202","0.13666666666666666"
"4","1","30","3","0.33900470831275015","0.15666666666666668"
"6","1","30","3","0.2760804464424165","0.12"
"2","1","0","2","0.24393657487015868","0.14333333333333334"
"1","1","0","3","0.25371861957121794","0.15333333333333332"
"5","1","30","3","0.34430093653996785","0.16666666666666666"
"3","1","0","3","0.2056076214432352","0.15666666666666668"
"4","1","30","4","0.3727320084300197","0.17"
"6","1","30","4","0.29699702616517615","0.16"
"2","1","0","3","0.29959475723330103","0.16333333333333333"
"1","1","0","4","0.36146490291934147","0.15666666666666668"
"5","1","30","4","0.3975746617333484","0.16666666666666666"
"3","1","0","4","0.3043287903123759","0.18333333333333332"
"4","1","30","5","0.4412548145117218","0.2"
"2","1","0","4","0.3501826917757854","0.17666666666666667"
"6","1","30","5","0.3619831518892272","0.17333333333333334"
"5","1","30","5","0.4078892116271796","0.14"
"1","1","0","5","0.4325010155132617","0.18666666666666668"
"4","1","30","6","0.4834333814778181","0.23333333333333334"
"3","1","0","5","0.3437663012654653","0.21"
"2","1","0","5","0.41340277731311775","0.18333333333333332"
"6","1","30","6","0.42246732466261816","0.16666666666666666"
"5","1","30","6","0.4353802405263927","0.12333333333333334"
"1","1","0","6","0.48895504243520416","0.21333333333333335"
"4","1","30","7","0.4878504816730651","0.17666666666666667"
"3","1","0","6","0.4026369721125751","0.21666666666666667"
"2","1","0","6","0.47296275045864783","0.23666666666666666"
