"BehaviorSpace results (NetLogo 6.2.2)"
"variant_VIA.nlogo"
"policies"
"12/31/2022 18:00:05:807 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","gamma","epsilon","[step]","policy-reward"
"4","0.85","0.2","1000","-6978"
"5","0.85","0.2","1000","-1000"
"6","0.85","0.2","1000","-1000"
"1","0.85","0.2","1000","-48089"
"2","0.85","0.2","1000","-1000"
"3","0.85","0.2","1000","-49020"
"7","0.85","0.2","1000","-1000"
"10","0.85","0.5","1000","-48236"
"11","0.85","0.5","1000","-48530"
"8","0.85","0.2","1000","-47893"
"9","0.85","0.2","1000","-6733"
"12","0.85","0.5","1000","-48677"
"13","0.85","0.5","1000","-5851"
"14","0.85","0.5","1000","-48726"
"16","0.85","0.5","1000","-1000"
"15","0.85","0.5","1000","-1000"
"20","0.85","0.8","1000","-48481"
"19","0.85","0.8","1000","-5557"
"17","0.85","0.5","1000","-1000"
"21","0.85","0.8","1000","-12711"
"22","0.85","0.8","1000","-48971"
"18","0.85","0.5","1000","-5655"
"23","0.85","0.8","1000","-48824"
"24","0.85","0.8","1000","-48383"
"27","0.85","0.8","1000","-48383"
"26","0.85","0.8","1000","-1000"
"30","0.89","0.2","1000","-48334"
"25","0.85","0.8","1000","-1000"
"29","0.89","0.2","1000","-1000"
"31","0.89","0.2","1000","-48334"
"33","0.89","0.2","1000","-48579"
"28","0.89","0.2","1000","-48187"
"34","0.89","0.2","1000","-5606"
"35","0.89","0.2","1000","-48285"
"32","0.89","0.2","1000","-6096"
"37","0.89","0.5","1000","-1000"
"36","0.89","0.2","1000","-48236"
"38","0.89","0.5","1000","-1000"
"39","0.89","0.5","1000","-5655"
"42","0.89","0.5","1000","-48677"
"41","0.89","0.5","1000","-48971"
"43","0.89","0.5","1000","-48628"
"40","0.89","0.5","1000","-48383"
"46","0.89","0.8","1000","-47501"
"44","0.89","0.5","1000","-1000"
"45","0.89","0.5","1000","-1000"
"47","0.89","0.8","1000","-48628"
"49","0.89","0.8","1000","-48383"
"48","0.89","0.8","1000","-48530"
"50","0.89","0.8","1000","-5214"
"51","0.89","0.8","1000","-5802"
"52","0.89","0.8","1000","-1000"
"53","0.89","0.8","1000","-12956"
"55","0.93","0.2","1000","-49020"
"54","0.89","0.8","1000","-48677"
"57","0.93","0.2","1000","-48285"
"56","0.93","0.2","1000","-1000"
"58","0.93","0.2","1000","-6341"
"60","0.93","0.2","1000","-5655"
"62","0.93","0.2","1000","-6292"
"63","0.93","0.2","1000","-48971"
"59","0.93","0.2","1000","-6145"
"65","0.93","0.5","1000","-5900"
"64","0.93","0.5","1000","-48089"
"67","0.93","0.5","1000","-1000"
"61","0.93","0.2","1000","-1000"
"69","0.93","0.5","1000","-48481"
"68","0.93","0.5","1000","-48383"
"66","0.93","0.5","1000","-48481"
"71","0.93","0.5","1000","-1000"
"70","0.93","0.5","1000","-48824"
"73","0.93","0.8","1000","-1000"
"75","0.93","0.8","1000","-48579"
"72","0.93","0.5","1000","-48040"
"74","0.93","0.8","1000","-48334"
"78","0.93","0.8","1000","-48334"
"80","0.93","0.8","1000","-48824"
"77","0.93","0.8","1000","-48383"
"76","0.93","0.8","1000","-5851"
"79","0.93","0.8","1000","-48824"
"81","0.93","0.8","1000","-47942"
"83","0.97","0.2","119","281"
"86","0.97","0.2","117","283"
"84","0.97","0.2","92","308"
"82","0.97","0.2","124","276"
"87","0.97","0.2","109","291"
"85","0.97","0.2","107","293"
"89","0.97","0.2","117","283"
"91","0.97","0.5","84","316"
"88","0.97","0.2","91","309"
"93","0.97","0.5","125","275"
"90","0.97","0.2","93","307"
"92","0.97","0.5","120","280"
"94","0.97","0.5","89","311"
"95","0.97","0.5","90","310"
"96","0.97","0.5","116","284"
"98","0.97","0.5","96","304"
"99","0.97","0.5","101","299"
"97","0.97","0.5","115","285"
"100","0.97","0.8","101","299"
"101","0.97","0.8","100","300"
"103","0.97","0.8","102","298"
"107","0.97","0.8","92","308"
"106","0.97","0.8","83","317"
"102","0.97","0.8","124","276"
"105","0.97","0.8","105","295"
"104","0.97","0.8","107","293"
"108","0.97","0.8","98","302"
